,location_name,sex,year_id,mx,lower,upper,Climate,Population,Rank,Borough or Census Area,Per capita income,Median household income,Median family income,Number of households,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Kusilvak Census Area,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Borough,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wrangell City and Borough,Yakutat City and Borough,Yukon-Koyukuk Census Area,Cold semi-arid/Dry-summer subarctic/Subarctic,Cold semi-arid/Subarctic,Dry-summer subarctic/Subarctic,Oceanic,Oceanic/Subarctic,Subarctic,Tundra/Cold semi-arid/Dry-summer subarctic/Subarctic,Tundra/Dry-summer subarctic/Subarctic,Tundra/Oceanic/Subarctic,Tundra/Subarctic
0,Aleutians East Borough,Male,1980,2.43933245339687,0.8802944017271359,5.48676417383997,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Aleutians East Borough,Male,1981,2.2164673178155203,0.8103669961174521,4.92597698713149,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Aleutians East Borough,Male,1982,2.07866917999584,0.793859032765895,4.47544566102707,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Aleutians East Borough,Male,1983,1.9594002068466698,0.772705099158948,4.326648798358209,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Aleutians East Borough,Male,1984,1.90357388050257,0.771711134416317,3.9866815485511404,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Aleutians East Borough,Male,1985,1.89546734471414,0.8226124693315541,3.90776205478109,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Aleutians East Borough,Male,1986,1.99539399682201,0.969238825195241,3.80964394548819,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Aleutians East Borough,Male,1987,2.40691174388829,1.29247077865922,4.30918919539579,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Aleutians East Borough,Male,1988,2.5635666574280296,1.46837049144413,4.55715783387766,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Aleutians East Borough,Male,1989,2.75569874627198,1.62103751010712,4.78293061947924,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Aleutians East Borough,Male,1990,2.7279025012496603,1.65174597457213,4.48560170006632,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Aleutians East Borough,Male,1991,3.0770934098178198,1.92652282760228,5.094506672291059,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Aleutians East Borough,Male,1992,3.12028870695352,2.00015558627317,4.95060345743846,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Aleutians East Borough,Male,1993,3.2673235293579306,2.16192855190118,5.17957934631158,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Aleutians East Borough,Male,1994,3.3533790005761803,2.22594922888448,5.18654785826533,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Aleutians East Borough,Male,1995,3.4281399987820094,2.2793175715430802,5.284357896612129,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Aleutians East Borough,Male,1996,3.02918654947029,1.95081418081518,4.726431222136751,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Aleutians East Borough,Male,1997,2.12059150145123,1.26337382609058,3.4880311362211,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Aleutians East Borough,Male,1998,1.86847932020129,1.09847277462038,3.1516068983617203,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,Aleutians East Borough,Male,1999,1.9135068037213,1.11785490011108,3.3047735214194898,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,Aleutians East Borough,Male,2000,1.66844987957952,0.977841374833544,2.74177003721344,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Aleutians East Borough,Male,2001,1.55609067524129,0.933108622587346,2.61774370850587,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Aleutians East Borough,Male,2002,1.5523647626906,0.9123421502382009,2.6159556004495297,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Aleutians East Borough,Male,2003,1.51950120280557,0.876776217700744,2.50354995187027,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Aleutians East Borough,Male,2004,1.3405602135613999,0.7890795151346129,2.22363934401375,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Aleutians East Borough,Male,2005,1.30253317728402,0.7284355658187671,2.1703830929250203,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Aleutians East Borough,Male,2006,1.22792465171499,0.683359851033796,2.11991416608969,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Aleutians East Borough,Male,2007,1.14354596730494,0.607132042134419,2.05521287202845,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,Aleutians East Borough,Male,2008,1.0779392549184499,0.558855580514713,1.8927816466317702,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Aleutians East Borough,Male,2009,1.00940313516914,0.5325594382563089,1.80495255955667,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Aleutians East Borough,Male,2010,0.8932191840799109,0.447988816957797,1.64524334903299,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Aleutians East Borough,Male,2011,0.8498285164932909,0.41774770030386893,1.58691165833826,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Aleutians East Borough,Male,2012,0.812979592870971,0.371545782693828,1.5662227327961,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,Aleutians East Borough,Male,2013,0.7781132531865451,0.36575696077082,1.4994804548498402,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,Aleutians East Borough,Male,2014,0.7614383980151109,0.35221186594936604,1.4540562177638001,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,Aleutians East Borough,Female,1980,3.407294828875,1.17530470209397,7.93515418390244,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,Aleutians East Borough,Female,1981,3.20413181481172,1.04586778233851,7.471299910641919,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,Aleutians East Borough,Female,1982,2.9857134486349,1.0600887613824201,6.83412780911944,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,Aleutians East Borough,Female,1983,2.84684477007459,1.01034081039245,6.47700913918235,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,Aleutians East Borough,Female,1984,2.63121599645044,0.910089694960015,5.903504340360451,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Aleutians East Borough,Female,1985,2.2453451324734397,0.815923913430717,4.8664576978405805,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,Aleutians East Borough,Female,1986,2.15285751301326,0.783842448595016,4.59173725078139,Tundra/Oceanic/Subarctic,3360,22,Aleutians East Borough,"$22,279","$54,375","$61,250",553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
