,location_name,sex,year_id,mx,lower,upper,Climate,Rank_x,County,Population,Rank_y,Parish,Per capita income,Median household income,Median family income,Number of households,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,DeSoto,EastBatonRouge,EastCarroll,EastFeliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,JeffersonDavis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,PointeCoupee,Rapides,RedRiver,Richland,Sabine,St.Bernard,St.Charles,St.Helena,St.James,St.JohntheBaptist,St.Landry,St.Martin,St.Mary,St.Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,WestBatonRouge,WestCarroll,WestFeliciana,Winn,Humid subtropical
0,AcadiaParish,Male,1980,1.8988358367866298,1.56883997600306,2.25164654402877,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,AcadiaParish,Male,1981,1.89313209187306,1.56279047818204,2.23115028010089,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,AcadiaParish,Male,1982,1.8329977401263702,1.51491775315333,2.14731505919586,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,AcadiaParish,Male,1983,1.85703540263647,1.51586527491393,2.1958492067938,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,AcadiaParish,Male,1984,1.77955686300049,1.46202340693661,2.10073525646542,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,AcadiaParish,Male,1985,1.87322245815492,1.54919145830229,2.2157974839098196,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,AcadiaParish,Male,1986,1.7487555222635098,1.4514531864288798,2.06286947961268,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,AcadiaParish,Male,1987,1.7647108111833998,1.4544710838214299,2.09902178828892,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,AcadiaParish,Male,1988,1.7265979720758602,1.4105689129981598,2.06096359557024,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,AcadiaParish,Male,1989,1.6961804065447599,1.3951381512020902,2.0294201667917497,Humid subtropical,18,Acadia,"62,590",48,Acadia,"$18,116","$37,261","$44,404","22,841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
