,location_name,sex,year_id,mx,lower,upper,Climate,Rank_x,County,Population,Rank_y,Per capita income,Median household income,Median family income,Number of households,Bristol,Kent,Newport,Providence,Washington,Hot-summer humid continental/Warm-summer humid continental/Oceanic/Humid subtropical,Humid subtropical,Oceanic/Humid subtropical,Warm-summer humid continental/Oceanic/Humid subtropical
0,BristolCounty,Male,1980,0.9833040383390258,0.548898106502124,3.0960549200153,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
1,BristolCounty,Male,1981,0.970925750700378,0.5517678732214111,3.2391821967834504,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
2,BristolCounty,Male,1982,0.9379329866708891,0.52535407985711,2.912896483241,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
3,BristolCounty,Male,1983,0.959634612925348,0.551778382412938,3.1149191731282904,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
4,BristolCounty,Male,1984,0.933615211322677,0.5341114135348549,3.0707127161156804,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
5,BristolCounty,Male,1985,0.96598922087181,0.5519131349872409,3.09874572836229,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
6,BristolCounty,Male,1986,0.944556514145991,0.538190463120442,2.9901140298698903,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
7,BristolCounty,Male,1987,0.91260139256127,0.5380162127571939,2.9208744083249103,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
8,BristolCounty,Male,1988,0.950377444307147,0.571893925137572,2.8751183625359,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
9,BristolCounty,Male,1989,0.9757818770616651,0.5940472700414879,2.9427375911006304,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
10,BristolCounty,Male,1990,0.9579255981616309,0.585398320734454,2.8486670809451096,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
11,BristolCounty,Male,1991,1.0160796423665601,0.6407394537429411,2.77451172980932,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
12,BristolCounty,Male,1992,1.04309302646096,0.656542340089491,2.89000226092501,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
13,BristolCounty,Male,1993,1.1368110296499798,0.733854527287886,2.80882990122707,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
14,BristolCounty,Male,1994,1.1725178271110501,0.7688149960212521,2.817380466361,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
15,BristolCounty,Male,1995,1.29665181058656,0.8597084727597321,2.9604403057762,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
16,BristolCounty,Male,1996,1.4101798911758403,0.942247641871607,2.8448445949000494,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
17,BristolCounty,Male,1997,1.58042466293219,1.0487297622068399,2.77730203981533,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
18,BristolCounty,Male,1998,1.86232169812552,1.2273531797154198,2.95808726886436,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
19,BristolCounty,Male,1999,2.2679352679877405,1.2953166189032,3.2593323515875,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
20,BristolCounty,Male,2000,2.65975503777219,1.19807437181353,3.71024911565764,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
21,BristolCounty,Male,2001,3.0352427612214603,1.19979957499945,4.18217093870534,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
22,BristolCounty,Male,2002,3.6149667432759,1.2967134768183601,5.1182197759743895,Humid subtropical,5,Bristol,"48,912",2,"$35,588","$68,333","$87,781","19,150",1,0,0,0,0,0,1,0,0
